NAME,CATEGORY,TYPE,VALUE,CHOICES,DESCRIPTION
starting_year,General,int,2009,,the year the simulation starts
avg_precipitation,Climate,float,200,,average precipitation for the region (mm)
max_precipitation,Climate,float,400,,maximum precipitation for the region (mm).  anything less than 25% of this will be considered drought.
drought_coeff,Climate,float,0.5,,
drought_threshold,Climate,float,100,,mm of rainfall below which is considered a drought
enable_drought,Climate,bool,TRUE,,enable droughts
no_droughts_before,Climate,int,2,,year of gameplay before which there will be no droughts
birth_rate,Demographics,float,0.02,,birth rate of the villagers
death_rate,Demographics,float,0.01,,death rate of the villagers (natural causes)
avg_family_size,Demographics,int,4,,average family size in the village (for income tax purposes)
child_1_effort,Demographics,int,0,,effort coefficient for child under 5
child_2_effort,Demographics,int,4,,effort coefficient for child between 5 and 10
child_3_effort,Demographics,int,8,,effort coefficient for child 10 - 15
child_genders,Demographics,list:enum:str,"Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male","Male,Female",list of genders of the children in the order that they're born
child_names,Demographics,list:str,"Damba,Mamadou,Awa,Yao,Jeanne,Amadou,Mariam,Samuel,Aminata,Kuoakou,Kady,Jean,Mame,Patrick,Sale,Oumar,Kuomba,Didier",,names for the children in the order that they are born
subsistence,Demographics,int,450000,,
w_subsistence,Demographics,float,30,,
adult_effort,Household Economy,int,12,,effort coefficient for adult
microfinance_base_interest,Household Economy,float,0.02,,base interest rate for microfinance loans
microfinance_drought_effect,Household Economy,float,1,,effect of drought on microfinance interest rate
microfinance_epidemic_effect,Household Economy,float,1,,effect of epidemic on microfinance interest rate
microfinance_min_balance,Household Economy,float,100,,minimum balance for microfinance unit
microfinance_repay_period,Household Economy,int,8,,number of turns to repay microfinance loan
energy_req,Household Economy,int,18,,
energy_req_scaling_factor,Household Economy,float,0.5,,set this to (1 / initial family size)
propane_fuel_coeff,Household Economy,float,5,,
avg_water_yield,Household Economy,float,250,,
pregnant_effort,Household Economy,int,6,,effort coefficient for pregnant adult
productivity_effort_coeff,Household Economy,float,0.2,,coefficient for effort * productivity
avg_small_business_yield,Small Business,float,50,,
small_business_depreciation_rate,Small Business,float,0.2,,depreciation rate of small business capital
small_business_diminishing_return,Small Business,float,1,,dimishing return effect for small business income
small_business_drought_effect,Small Business,float,1,,effect of drought on small business income
